categorie_carigel,nom,unite,conditionnement,marque_souhaitee,code_fournisseur,prix_ht_eur,allergenes,dlc_jours,stock_min,notes
Viande,Filet de bœuf,kg,Frais découpe,Origine France,,,,,2,Pour plats signature
Viande,Steak haché 15% MG,kg,Surgelé portions 150g,,,,,180,8,Burger et plats
Viande,Magret de canard,kg,Frais sous vide,Sud-Ouest,,,,,2,
Viande,Poulet fermier entier,kg,Frais,Label Rouge,,,,,2,
Viande,Filet de poulet,kg,Frais,Label Rouge,,,,,2,
Viande,Jambon blanc supérieur,kg,Bloc 4-5kg,,,,lait,15,2,À découper sur place
Viande,Lardons fumés,kg,Sachet 1kg,,,,,30,2,
Viande,Bavette d'aloyau,kg,Frais sous vide,Origine France,,,,7,2,
Viande,Entrecôte,kg,Frais sous vide,Origine France,,,,7,2,
Viande,Cuisse de canard confite,pièce,Bocal 4/4,,,,,365,5,Plat signature
Mer,Filet de saumon frais,kg,Sans peau sans arêtes,Norvège ou Écosse,,,,3,3,
Mer,Saumon fumé tranché,kg,Sous vide,,,,poisson,21,1,
Mer,Crevettes décortiquées,kg,Surgelées calibre 30/40,,,,crustacés,365,2,
Mer,Filet de cabillaud,kg,Surgelé,,,,poisson,365,2,
Mer,Filet de bar,kg,Frais,,,,poisson,3,2,
Mer,Noix de Saint-Jacques,kg,Surgelées sans corail,,,,mollusques,365,2,
Mer,Calamars en anneaux,kg,Surgelés,,,,mollusques,365,2,
Mer,Moules de bouchot,kg,Frais saison,,,,mollusques,5,5,
Mer,Truite fumée,kg,Sous vide,,,,poisson,21,1,
Crèmerie,Beurre doux plaquette 250g,kg,Plaquettes 250g,AOP Charentes-Poitou,,,lait,90,2,
Crèmerie,Beurre demi-sel,kg,Plaquettes 250g,AOP Charentes-Poitou,,,lait,90,1,
Crèmerie,Crème fraîche 30% MG,L,UHT 1L,,,,lait,60,5,
Crèmerie,Crème liquide 30% MG,L,UHT 1L,,,,lait,90,3,
Crèmerie,Mascarpone,kg,Pot 1kg,,,,lait,30,2,
Crèmerie,Mozzarella di Bufala AOP,kg,Boules 125g sachet 1kg,,,,lait,21,3,Pizza et caprese
Crèmerie,Mozzarella standard,kg,Bloc 1kg,,,,lait,30,5,Pour pizzas
Crèmerie,Parmesan Reggiano râpé,kg,Sachet 1kg,Parmigiano Reggiano 24 mois,,,lait,90,1,
Crèmerie,Parmesan en bloc,kg,Bloc 1kg,Parmigiano Reggiano 24 mois,,,lait,180,1,À râper sur place
Crèmerie,Chèvre frais bûche,kg,Bûche 1kg,,,,lait,21,2,
Crèmerie,Œufs plein air L,pièce,Plateau 30,Code 1 ou 0,,,œufs,28,200,
Crèmerie,Œufs liquides pasteurisés,L,Brique 1L,,,,œufs,180,3,Pâtisserie
Crèmerie,Yaourt nature seau,kg,Seau 5kg,,,,lait,30,2,
Crèmerie,Lait entier UHT,L,Brique 1L,,,,lait,180,10,
Crèmerie,Lait demi-écrémé UHT,L,Brique 1L,,,,lait,180,10,Pour café
Légumes,Pommes de terre Bintje,kg,Sac 25kg lavées brossées calibre 50/70,,,,,30,30,
Légumes,Frites pré-cuites surgelées 9x9,kg,Carton 2.5kg,,,,,365,20,
Légumes,Oignon jaune,kg,Sac 10kg,,,,,30,10,
Légumes,Oignon rouge,kg,Sac 5kg,,,,,30,5,
Légumes,Ail frais,kg,Filet 5kg,,,,,60,2,
Légumes,Ail surgelé en cubes,kg,Sachet 1kg,,,,,365,1,Dépannage
Légumes,Tomate ronde catégorie I,kg,Cageot 6kg,,,,,7,10,
Légumes,Tomate cerise,kg,Barquette 250g x 24,,,,,7,5,
Légumes,Tomate San Marzano pelée,kg,Boîte 4/4 ou 5/1,,,,,1095,10,Conserve italienne
Légumes,Courgette,kg,Caisse 5kg,,,,,7,8,
Légumes,Aubergine,kg,Caisse 5kg,,,,,7,8,
Légumes,Poivron rouge,kg,Cageot 5kg,,,,,7,5,
Légumes,Poivron jaune,kg,Cageot 5kg,,,,,7,3,
Légumes,Champignons de Paris frais,kg,Barquette 500g,,,,,7,5,
Légumes,Salade mesclun pré-lavée,kg,Sachet 1kg 4ᵉ gamme,,,,,7,3,
Légumes,Roquette,kg,Sachet 500g 4ᵉ gamme,,,,,7,2,
Légumes,Salade verte Batavia,pièce,Carton 12 pièces,,,,,7,12,
Légumes,Carottes,kg,Sac 5kg lavées,,,,,21,5,
Légumes,Mix légumes surgelés,kg,Sachet 2.5kg,,,,,365,5,
Pain & Viennoiserie,Pain burger sésame artisanal,pièce,Sachet 24,,,,gluten|sésame,5,100,Diamètre 12cm
Pain & Viennoiserie,Pain burger brioché,pièce,Sachet 24,,,,gluten|œufs|lait,5,50,
Pain & Viennoiserie,Ciabatta individuelle,pièce,Sachet 12,,,,gluten,5,50,
Pain & Viennoiserie,Baguette tradition,pièce,Surgelée à cuire,,,,gluten,180,100,Cuisson sur place
Pain & Viennoiserie,Pâton baguette surgelé,pièce,Carton 50,,,,gluten,180,100,À cuire matin
Pain & Viennoiserie,Croissants pur beurre,pièce,Carton 100 surgelés,,,,gluten|lait|œufs,180,80,
